Sentence #	Word	POS	Tag
Sentence: 1	Vale	VERB	O
	a	DET	O
	pena	NOUN	O
	cada	DET	B-asp
	centavo	NOUN	I-asp
	investido	VERB	I-asp
	nesta	ADP	O
	máquina	NOUN	B-asp
	.	PUNCT	O
Sentence: 2	O	PRON	O
	que	PRON	O
	gostei	VERB	O
	:	PUNCT	O
	Excelente	ADJ	O
	qualidade	NOUN	O
	da	ADP	O
	imagem	NOUN	O
	;	PUNCT	O
	Bonita	PROPN	O
	;	PUNCT	O
	Fácil	PROPN	O
	manuseio	NOUN	B-asp
	.	PUNCT	O
Sentence: 3	O	PRON	O
	que	PRON	O
	não	ADV	O
	gostei	VERB	O
	:	PUNCT	O
	Acessórios	NOUN	O
	somente	ADV	O
	da	ADP	O
	Sony	PROPN	O
Sentence: 4	O	DET	O
	preço	NOUN	B-asp
	é	AUX	O
	compatível	ADJ	O
	com	ADP	O
	a	DET	O
	qualidade	NOUN	O
	imbatível	ADJ	O
	de	ADP	O
	uma	DET	O
	Sony	PROPN	O
	.	PUNCT	O
Sentence: 5	Voltaria	VERB	O
	a	SCONJ	O
	comprar	VERB	O
	com	ADP	O
	certeza	NOUN	O
	.	PUNCT	O
Sentence: 6	Eu	PRON	O
	recomendo	VERB	O
	.	PUNCT	O
Sentence: 7	O	PRON	O
	que	PRON	O
	gostei	VERB	O
	:	PUNCT	O
	Altíssima	ADJ	O
	resolução	NOUN	B-asp
	.	PUNCT	O
Sentence: 8	Bateria	NOUN	O
	com	ADP	O
	uma	DET	O
	duração	NOUN	O
	excelente	ADJ	O
	.	PUNCT	O
Sentence: 9	Dá	VERB	O
	para	SCONJ	O
	tirar	VERB	O
	centenas	NOUN	O
	de	ADP	O
	fotos	NOUN	O
	,	PUNCT	O
	filmar	VERB	O
	a	DET	O
	vontade	NOUN	O
	que	PRON	O
	ela	PRON	O
	aguenta	VERB	O
	.	PUNCT	O
Sentence: 10	E	CCONJ	O
	na	ADP	O
	hora	NOUN	O
	de	SCONJ	O
	carregar	VERB	O
	ela	PRON	O
	é	AUX	O
	excelente	ADJ	O
	.	PUNCT	O
Sentence: 11	O	PRON	O
	que	PRON	O
	não	ADV	O
	gostei	VERB	O
	:	PUNCT	O
	Achei	VERB	O
	aquele	DET	O
	botão	NOUN	B-asp
	redondo	ADJ	O
	que	PRON	O
	fica	VERB	O
	na	ADP	O
	parte	NOUN	O
	traseira	ADJ	O
	da	ADP	O
	máquina	NOUN	O
	,	PUNCT	O
	onde	PRON	O
	você	PRON	O
	busca	VERB	O
	as	DET	O
	funções	NOUN	B-asp
	da	ADP	O
	máquina	NOUN	O
	,	PUNCT	O
	de	ADP	O
	manuseio	NOUN	B-asp
	um	DET	O
	pouco	ADV	O
	lento	ADJ	O
	.	PUNCT	O
Sentence: 12	Isso	PRON	O
	se	PRON	O
	dá	VERB	O
	o	DET	O
	fato	NOUN	O
	dele	PRON	O
	ser	AUX	O
	bem	ADV	O
	rente	ADJ	O
	ao	ADP	O
	corpo	NOUN	O
	da	ADP	O
	máquina	NOUN	O
	,	PUNCT	O
	sendo	AUX	O
	que	SCONJ	O
	foi	AUX	O
	deixado	VERB	O
	apenas	ADV	O
	um	NUM	O
	rebaixo	NOUN	O
	na	ADP	O
	lateral	NOUN	O
	para	SCONJ	O
	facilitar	VERB	O
	o	DET	O
	uso	NOUN	O
	.	PUNCT	O
Sentence: 13	Facil	PROPN	O
	de	SCONJ	O
	usar	VERB	O
	.	PUNCT	O
Sentence: 14	e	CCONJ	O
	se	SCONJ	O
	voce	PRON	O
	gosta	VERB	O
	de	ADP	O
	telescópio	NOUN	O
	...	PUNCT	O
Sentence: 15	ela	PRON	O
	e	CCONJ	O
	um	DET	O
	telescópio	NOUN	O
	que	PRON	O
	tira	VERB	O
	fotos	NOUN	B-asp
	e	CCONJ	O
	ainda	ADV	O
	grava	VERB	O
	video	NOUN	B-asp
	em	ADP	O
	full	PROPN	O
	HD	PROPN	O
	.	PUNCT	O
Sentence: 16	link	NOUN	O
	para	SCONJ	O
	ver	VERB	O
	foto	NOUN	O
	panorâmica	ADJ	O
	.	PUNCT	O
Sentence: 17	http://www.panoramio.com/photo/29693449	ADV	O
	.	PUNCT	O
Sentence: 18	O	PRON	O
	que	PRON	O
	gostei	VERB	O
	:	PUNCT	O
	Tudo	PRON	O
Sentence: 19	òtimo	ADJ	O
	produto	NOUN	B-asp
	,	PUNCT	O
	excelente	ADJ	O
	qualidade	NOUN	O
	de	ADP	O
	resolução	NOUN	B-asp
	nas	ADP	I-asp
	fotos	NOUN	I-asp
	e	CCONJ	O
	nos	ADP	O
	vídeos	NOUN	B-asp
	de	ADP	O
	alta	ADJ	O
	definição	NOUN	O
	.	PUNCT	O
Sentence: 20	Estou	AUX	O
	satisfeito	ADJ	O
	!	PUNCT	O
Sentence: 21	 	SPACE	O
	O	PRON	O
	que	PRON	O
	gostei	VERB	O
	:	PUNCT	O
	òtimo	ADJ	O
	produto	NOUN	B-asp
	,	PUNCT	O
	excelente	ADJ	O
	qualidade	NOUN	O
	de	ADP	O
	resolução	NOUN	B-asp
	nas	ADP	I-asp
	fotos	NOUN	I-asp
	e	CCONJ	O
	nos	ADP	O
	vídeos	NOUN	B-asp
	de	ADP	O
	alta	ADJ	O
	definição	NOUN	O
	.	PUNCT	O
Sentence: 22	Estou	AUX	O
	satisfeito	ADJ	O
	!	PUNCT	O
Sentence: 23	 	SPACE	O
	O	PRON	O
	que	PRON	O
	não	ADV	O
	gostei	VERB	O
	:	PUNCT	O
	Não	ADV	O
	tem	VERB	O
	menu	NOUN	B-asp
	em	ADP	O
	portugues	NOUN	O
	,	PUNCT	O
	o	PRON	O
	que	PRON	O
	na	ADP	O
	verdade	NOUN	O
	pra	ADP	O
	mim	PRON	O
	não	ADV	O
	tem	VERB	O
	problema	NOUN	O
	algum	PRON	O
	,	PUNCT	O
	coloquei	VERB	O
	em	ADP	O
	espanhol	NOUN	O
	e	CCONJ	O
	da	ADP	O
	pra	SCONJ	O
	entender	VERB	O
	muito	ADV	O
	bem	ADV	O
	.	PUNCT	O
Sentence: 24	Este	DET	O
	produto	NOUN	B-asp
	tem	VERB	O
	um	DET	O
	bom	ADJ	O
	acabameto	ADJ	B-asp
	em	ADP	O
	geral	ADJ	O
	.	PUNCT	O
Sentence: 25	 	SPACE	O
	O	PRON	O
	que	PRON	O
	gostei	VERB	O
	:	PUNCT	O
	bom	ADJ	O
	acabameto	ADJ	B-asp
	em	ADP	O
	geral	ADJ	O
	.	PUNCT	O
Sentence: 26	 	SPACE	O
	O	PRON	O
	que	PRON	O
	não	ADV	O
	gostei	VERB	O
	:	PUNCT	O
	O	DET	O
	preço	NOUN	B-asp
Sentence: 27	É	AUX	O
	uma	DET	O
	ótima	ADJ	O
	câmera	NOUN	B-asp
	q	PRON	O
	alia	VERB	O
	a	DET	O
	praticidade	NOUN	B-asp
	de	ADP	O
	uma	DET	O
	câmera	NOUN	B-asp
	compacta	ADJ	B-asp
	à	ADP	O
	propriedades	NOUN	O
	de	ADP	O
	câmera	NOUN	B-asp
	semiprofissional	ADJ	I-asp
	,	PUNCT	O
	como	ADP	O
	por	ADP	O
	exemplo	NOUN	O
	controles	NOUN	O
	de	ADP	O
	abertura	NOUN	O
	do	ADP	O
	diafagma	PROPN	O
	e	CCONJ	O
	de	ADP	O
	velocidade	NOUN	O
	.	PUNCT	O
Sentence: 28	 	SPACE	O
	O	PRON	O
	que	PRON	O
	gostei	VERB	O
	:	PUNCT	O
	É	AUX	O
	um	DET	O
	produto	NOUN	O
	excelente	ADJ	O
	.	PUNCT	O
Sentence: 29	 	SPACE	O
	O	PRON	O
	que	PRON	O
	não	ADV	O
	gostei	VERB	O
	:	PUNCT	O
	O	DET	O
	preço	NOUN	O
	não	ADV	O
	é	AUX	O
	tão	ADV	O
	competitivo	ADJ	O
	comparado	VERB	O
	à	ADP	O
	outras	DET	O
	câmeras	NOUN	O
	compactas	ADJ	O
	.	PUNCT	O
Sentence: 30	Só	ADV	O
	está	AUX	O
	me	PRON	O
	faltando	VERB	O
	um	DET	O
	flash	NOUN	B-asp
	à	ADP	O
	altura	NOUN	O
	da	ADP	O
	câmera	NOUN	B-asp
	.	PUNCT	O
Sentence: 31	 	SPACE	O
	O	PRON	O
	que	PRON	O
	gostei	VERB	O
	:	PUNCT	O
	Qualidade	NOUN	O
	das	ADP	O
	fotos	NOUN	O
	e	CCONJ	O
	dos	ADP	O
	vídeos	NOUN	B-asp
	.	PUNCT	O
Sentence: 32	Recursos	NOUN	O
	.	PUNCT	O
Sentence: 33	 	SPACE	O
	O	PRON	O
	que	PRON	O
	não	ADV	O
	gostei	VERB	O
	:	PUNCT	O
	Fora	ADV	O
	o	DET	O
	preço	NOUN	B-asp
	,	PUNCT	O
	nada	PRON	O
	.	PUNCT	O
Sentence: 34	Fiz	VERB	O
	este	DET	O
	pedido	NOUN	O
	por	ADP	O
	meio	NOUN	O
	deste	ADP	O
	site	NOUN	O
	,	PUNCT	O
	na	ADP	O
	loja	NOUN	O
	CBN	PROPN	O
	Distribuição	NOUN	O
	,	PUNCT	O
	contudo	CCONJ	O
	,	PUNCT	O
	até	ADP	O
	hoje	ADV	O
	não	ADV	O
	chegou	VERB	O
	,	PUNCT	O
	ultrapassando	VERB	O
	o	DET	O
	prazo	NOUN	B-asp
	de	ADP	I-asp
	entrega	NOUN	I-asp
	.	PUNCT	O
Sentence: 35	Mandei	VERB	O
	vários	DET	O
	emails	NOUN	O
	e	CCONJ	O
	não	ADV	O
	obtive	VERB	O
	resposta	NOUN	O
	.	PUNCT	O
Sentence: 36	 	SPACE	O
	O	PRON	O
	que	PRON	O
	gostei	VERB	O
	:	PUNCT	O
	Fiz	VERB	O
	este	DET	O
	pedido	NOUN	O
	por	ADP	O
	meio	NOUN	O
	deste	ADP	O
	site	NOUN	O
	,	PUNCT	O
	na	ADP	O
	loja	NOUN	O
	CBN	PROPN	O
	Distribuição	NOUN	O
	,	PUNCT	O
	contudo	CCONJ	O
	,	PUNCT	O
	até	ADP	O
	hoje	ADV	O
	não	ADV	O
	chegou	VERB	O
	,	PUNCT	O
	ultrapassando	VERB	O
	o	DET	O
	prazo	NOUN	B-asp
	de	ADP	I-asp
	entrega	NOUN	I-asp
	.	PUNCT	O
Sentence: 37	Mandei	VERB	O
	vários	DET	O
	emails	NOUN	O
	e	CCONJ	O
	não	ADV	O
	obtive	VERB	O
	resposta	NOUN	O
	.	PUNCT	O
Sentence: 38	 	SPACE	O
	O	PRON	O
	que	PRON	O
	não	ADV	O
	gostei	VERB	O
	:	PUNCT	O
	Fiz	VERB	O
	este	DET	O
	pedido	NOUN	O
	por	ADP	O
	meio	NOUN	O
	deste	ADP	O
	site	NOUN	O
	,	PUNCT	O
	na	ADP	O
	loja	NOUN	O
	CBN	PROPN	O
	Distribuição	NOUN	O
	,	PUNCT	O
	contudo	CCONJ	O
	,	PUNCT	O
	até	ADP	O
	hoje	ADV	O
	não	ADV	O
	chegou	VERB	O
	,	PUNCT	O
	ultrapassando	VERB	O
	o	DET	O
	prazo	NOUN	B-asp
	de	ADP	I-asp
	entrega	NOUN	I-asp
	.	PUNCT	O
Sentence: 39	Mandei	VERB	O
	vários	DET	O
	emails	NOUN	O
	e	CCONJ	O
	não	ADV	O
	obtive	VERB	O
	resposta	NOUN	O
	.	PUNCT	O
Sentence: 40	Sou	AUX	O
	fotógrafo	NOUN	O
	exigente	ADJ	O
	,	PUNCT	O
	inclusive	ADV	O
	com	ADP	O
	fotos	NOUN	O
	em	ADP	O
	galerias	NOUN	O
	.	PUNCT	O
Sentence: 41	Esta	PRON	O
	é	AUX	O
	-	PUNCT	O
	sem	ADP	O
	dúvida	NOUN	O
	-	PUNCT	O
	a	DET	O
	melhor	ADJ	O
	máquina	NOUN	B-asp
	que	PRON	O
	já	ADV	O
	usei	VERB	O
	.	PUNCT	O
Sentence: 42	Ao	SCONJ	O
	verem	VERB	O
	as	DET	O
	minhas	DET	O
	fotos	NOUN	O
	as	DET	O
	pessoas	NOUN	O
	perguntam	VERB	O
	se	SCONJ	O
	uso	NOUN	O
	uma	NUM	O
	daqueles	ADP	O
	caras	NOUN	O
	máquinas	NOUN	O
	profissionais	ADJ	O
	.	PUNCT	O
Sentence: 43	Resposta	NOUN	O
	:	PUNCT	O
	uso	NOUN	O
	a	ADP	O
	FZ35	PROPN	O
	que	SCONJ	O
	é	AUX	O
	perfeita	ADJ	O
	.	PUNCT	O
Sentence: 44	 	SPACE	O
	O	PRON	O
	que	PRON	O
