Sentence #	Word	POS	Tag
Sentence: 1	A	DET	O
	grande	ADJ	O
	vantagem	NOUN	O
	desse	ADP	O
	hotel	NOUN	B-asp
	é	AUX	O
	ser	AUX	O
	perto	ADV	B-asp
	do	ADP	O
	aeroporto	NOUN	B-asp
	.	PUNCT	O
Sentence: 2	Há	VERB	O
	uma	DET	O
	estação	NOUN	O
	de	ADP	O
	metrô	NOUN	O
	relativamente	ADV	O
	perto	ADV	B-asp
	também	ADV	O
	.	PUNCT	O
Sentence: 3	As	DET	O
	fotos	NOUN	O
	divulgadas	VERB	O
	não	ADV	O
	condizem	VERB	O
	tanto	ADV	O
	com	ADP	O
	a	DET	O
	realidade	NOUN	O
	do	ADP	O
	local	NOUN	O
	,	PUNCT	O
	mas	CCONJ	O
	ainda	ADV	O
	assim	ADV	O
	valeu	VERB	O
	a	DET	O
	estadia	NOUN	O
	.	PUNCT	O
Sentence: 4	Bom	ADV	O
	para	SCONJ	O
	ficar	VERB	O
	um	DET	O
	período	NOUN	O
	curto	ADJ	O
	.	PUNCT	O
Sentence: 5	horel	NOUN	O
	em	ADP	O
	reforma	NOUN	O
	.	PUNCT	O
Sentence: 6	quarto	NOUN	B-asp
	razoável	ADJ	O
	ma	PROPN	O
	so	PROPN	O
	preco	PROPN	O
	nao	PRON	O
	condis	VERB	O
	com	ADP	O
	o	DET	O
	serviço	NOUN	B-asp
	prestado	VERB	O
	.	PUNCT	O
Sentence: 7	nao	ADV	O
	fui	AUX	O
	avisado	VERB	O
	sobre	ADP	O
	taxa	NOUN	O
	de	ADP	O
	garagem	NOUN	B-asp
	.	PUNCT	O
Sentence: 8	15	NUM	O
	reais	NOUN	O
	para	SCONJ	O
	guardar	VERB	O
	o	DET	O
	carro	NOUN	O
	.	PUNCT	O
Sentence: 9	cafe	NOUN	O
	da	ADP	O
	manha	NOUN	O
	razoavel.ar	PROPN	O
	condicionado	VERB	O
	miito	NOUN	O
	barulhento	ADJ	O
Sentence: 10	Ótimo	PROPN	O
	acesso	NOUN	O
	,	PUNCT	O
	elevador	NOUN	B-asp
	,	PUNCT	O
	garagem	NOUN	B-asp
	,	PUNCT	O
	café	NOUN	O
	da	ADP	O
	manhã	NOUN	O
	regular	ADJ	O
	,	PUNCT	O
	mas	CCONJ	O
	o	DET	O
	salão	NOUN	O
	de	ADP	O
	refeições	NOUN	O
	é	AUX	O
	bem	ADV	O
	grande	ADJ	O
	...	PUNCT	O
Sentence: 11	quartos	NOUN	O
	com	ADP	O
	um	DET	O
	bom	ADJ	O
	tamanho	NOUN	O
	,	PUNCT	O
	recepcionistas	NOUN	B-asp
	muito	ADV	O
	ágeis	ADJ	O
	.	PUNCT	O
Sentence: 12	Fica	VERB	O
	ao	ADP	O
	lado	NOUN	O
	do	ADP	O
	tremsurb	PROPN	O
	,	PUNCT	O
	o	PRON	O
	que	PRON	O
	dá	VERB	O
	fácil	ADJ	O
	acesso	NOUN	O
	à	ADP	O
	rodoviária	NOUN	B-asp
	e	CCONJ	O
	ao	ADP	O
	aeroporto	NOUN	B-asp
	.	PUNCT	O
Sentence: 13	Hotel	NOUN	O
	com	ADP	O
	boa	ADJ	O
	localização	NOUN	B-asp
	,	PUNCT	O
	próximo	ADV	O
	ao	ADP	O
	aeroporto	NOUN	B-asp
	.	PUNCT	O
Sentence: 14	Cômodos	NOUN	O
	simples	ADJ	O
	mas	CCONJ	O
	em	ADP	O
	ordem	NOUN	O
	e	CCONJ	O
	limpos	ADJ	B-asp
	.	PUNCT	O
Sentence: 15	Ar-condicionado	VERB	O
	muito	ADV	O
	barulhento	ADJ	O
	e	CCONJ	O
	atendimento	NOUN	B-asp
	da	ADP	O
	recepção	NOUN	B-asp
	muito	ADV	O
	atrapalhado	ADJ	O
	.	PUNCT	O
Sentence: 16	Servem	VERB	O
	um	DET	O
	bom	ADJ	O
	jantar	NOUN	B-asp
	,	PUNCT	O
	simples	ADJ	O
	mas	CCONJ	O
	com	ADP	O
	qualidade	NOUN	O
	e	CCONJ	O
	variedade	NOUN	O
	compatível	ADJ	O
	ao	ADP	O
	preço	NOUN	B-asp
	.	PUNCT	O
Sentence: 17	Próximo	ADV	O
	do	ADP	O
	aeroporto	NOUN	B-asp
	mas	CCONJ	O
	com	ADP	O
	instalações	NOUN	B-asp
	precárias	ADJ	O
	.	PUNCT	O
Sentence: 18	Não	ADV	O
	tem	VERB	O
	elevador	NOUN	B-asp
	,	PUNCT	O
