Sentence #	Word	POS	Tag
Sentence: 1	O	DET	O
	aparelho	NOUN	B-asp
	é	AUX	O
	excelente	ADJ	O
	!	PUNCT	O
Sentence: 2	Vale	VERB	O
	a	DET	O
	pena	NOUN	O
	.	PUNCT	O
Sentence: 3	Vc	PROPN	O
	tem	VERB	O
	um	DET	O
	ótimo	ADJ	O
	smart	NOUN	B-asp
	phone	PROPN	I-asp
	com	ADP	O
	um	DET	O
	preço	NOUN	B-asp
	acessível	ADJ	O
	.	PUNCT	O
Sentence: 4	O	PRON	O
	que	PRON	O
	gostei	VERB	O
	:	PUNCT	O
	Bateria	NOUN	O
	tem	VERB	O
	ótima	ADJ	O
	durabilidade	NOUN	O
	,	PUNCT	O
	fácil	ADJ	B-asp
	de	SCONJ	I-asp
	usar	VERB	I-asp
	..	PUNCT	O
Sentence: 5	Wi	PROPN	O
	Fi	PROPN	O
	funciona	VERB	O
	direitinho	NOUN	O
	...	PUNCT	O
Sentence: 6	muito	ADV	O
	rápido	ADJ	B-asp
	...	PUNCT	O
Sentence: 7	ótimo	ADJ	O
	para	SCONJ	O
	escrever	VERB	O
	mensagens	NOUN	O
	de	ADP	O
	texto	NOUN	O
	..	PUNCT	O
Sentence: 8	Teclado	NOUN	O
	qwert	PROPN	O
	facilita	VERB	O
	muito	ADV	O
	...	PUNCT	O
Sentence: 9	tem	VERB	O
	muitas	DET	O
	funções	NOUN	B-asp
	!	PUNCT	O
Sentence: 10	O	PRON	O
	que	PRON	O
	não	ADV	O
	gostei	VERB	O
	:	PUNCT	O
	Acho	VERB	O
	que	SCONJ	O
	só	ADV	O
	pq	PRON	O
	não	ADV	O
	tem	VERB	O
	gps	PROPN	B-asp
	,	PUNCT	O
	mesmo	ADV	O
	assim	ADV	O
	dá	VERB	O
	pra	SCONJ	O
	usar	VERB	O
	o	DET	O
	guia	NOUN	O
	de	ADP	O
	mapas	NOUN	O
	que	PRON	O
	já	ADV	O
	vem	VERB	O
	no	ADP	O
	aparelho	NOUN	B-asp
	.	PUNCT	O
Sentence: 11	Com	ADP	O
	menos	NOUN	O
	de	ADP	O
	12	NUM	O
	dias	NOUN	O
	de	ADP	O
	uso	NOUN	O
	ele	PRON	O
	travou	VERB	O
	o	DET	O
	touch	NOUN	B-asp
	,	PUNCT	O
	os	DET	O
	aplicativos	NOUN	B-asp
	caem	VERB	O
	com	ADP	O
	frequência	NOUN	O
	na	ADP	O
	hora	NOUN	O
	do	ADP	O
	uso	NOUN	O
	,	PUNCT	O
	se	SCONJ	O
	ele	PRON	O
	estiver	VERB	O
	em	ADP	O
	algum	DET	O
	aplicativo	NOUN	O
	com	ADP	O
	Facebock	PROPN	O
	,	PUNCT	O
	a	DET	O
	bateria	NOUN	B-asp
	dele	PRON	O
	dura	VERB	O
	muito	ADV	O
	pouco	DET	O
	tempo	NOUN	O
	,	PUNCT	O
	a	DET	O
	internet	PROPN	B-asp
	dele	PRON	O
	se	SCONJ	O
	não	ADV	O
	for	AUX	O
	wi-fi	PRON	B-asp
	é	AUX	O
	muito	ADV	O
	ruim	ADJ	O
	,	PUNCT	O
	trava	VERB	B-asp
	na	ADP	O
	hora	NOUN	O
	que	SCONJ	O
	estou	AUX	O
	em	ADP	O
	uma	DET	O
	ligação	NOUN	O
	,	PUNCT	O
	parou	VERB	O
	de	SCONJ	O
	funcionar	VERB	O
	o	DET	O
	touch	PROPN	B-asp
	no	ADP	O
	menu	NOUN	O
	superior	ADJ	O
	em	ADP	O
	10	NUM	O
	dias	NOUN	O
	de	ADP	O
	uso	NOUN	O
	...	PUNCT	O
Sentence: 12	ARREPENDIMENTO	PROPN	O
	TOTAAALLLL	PROPN	O
	...	PUNCT	O
Sentence: 13	Enviei	VERB	O
	para	ADP	O
	assistência	NOUN	O
	da	ADP	O
	motorola	NOUN	O
	e	CCONJ	O
	depois	ADV	O
	de	ADP	O
	15	NUM	O
	dias	NOUN	O
	eles	PRON	O
	me	PRON	O
	devolveram	VERB	O
	sem	ADP	O
	conserto	NOUN	O
	pq	CCONJ	O
	na	ADP	O
	nota	NOUN	O
	fiscal	ADJ	O
	não	ADV	O
	tem	VERB	O
	o	DET	O
	número	NOUN	O
	IMEI	PROPN	O
	,	PUNCT	O
	solcitei	VERB	O
	o	DET	O
	número	NOUN	O
	do	ADP	O
	IMEI	PROPN	O
	junto	ADV	O
	a	DET	O
	empresa	NOUN	O
	que	PRON	O
	me	PRON	O
	vendeu	VERB	O
	o	DET	O
	produto	NOUN	O
	e	CCONJ	O
	se	PRON	O
	vão	VERB	O
	mais	ADV	O
	30	NUM	O
	dias	NOUN	O
	para	SCONJ	O
	eles	PRON	O
	enviarem	VERB	O
	a	DET	O
	nf	NOUN	O
	com	ADP	O
	os	DET	O
	tais	ADJ	O
	números	NOUN	O
	.	PUNCT	O
Sentence: 14	Depois	ADV	O
	mais	ADV	O
	30	NUM	O
	para	ADP	O
	a	DET	O
	assistência	NOUN	O
	me	PRON	O
	devolver	VERB	O
	consertado	VERB	O
	.	PUNCT	O
