Sentence #	Word	POS	Tag
Sentence: 1	Um	DET	O
	livro	NOUN	B-asp
	muito	ADV	O
	bom	ADJ	O
	que	PRON	O
	retrata	VERB	O
	a	DET	O
	cruel	ADJ	O
	realidade	NOUN	O
	de	ADP	O
	os	DET	O
	garotos	NOUN	O
	de	ADP	O
	rua	NOUN	O
	de	ADP	O
	a	DET	O
	Bahia	PROPN	O
	de	ADP	O
	a	DET	O
	década	NOUN	O
	de	ADP	O
	30	NUM	O
	.	PUNCT	O
Sentence: 2	Uma	DET	O
	realidade	NOUN	O
	que	PRON	O
	não	ADV	O
	deve	VERB	O
	ser	AUX	O
	muito	ADV	O
	diferente	ADJ	O
	hoje	ADV	O
	em	ADP	O
	dia	NOUN	O
	.	PUNCT	O
Sentence: 3	Ainda	ADV	O
	assim	ADV	O
	não	ADV	O
	me	PRON	O
	apaixonei	VERB	O
	muito	ADV	O
	por	ADP	O
	o	DET	O
	livro	NOUN	B-asp
	.	PUNCT	O
Sentence: 4	Sou	AUX	O
	um	DET	O
	fervoroso	ADJ	O
	defensor	NOUN	O
	de	ADP	O
	o	DET	O
	sexo	NOUN	O
	feminino	ADJ	O
	e	CCONJ	O
	desprezo	NOUN	O
	qualquer	DET	O
	coisa	NOUN	O
	que	PRON	O
	relacione	VERB	O
	violência	NOUN	O
	contra	ADP	O
	a	DET	O
	mulher	NOUN	O
	e	CCONJ	O
	o	DET	O
	livro	NOUN	B-asp
	mostra	VERB	O
	um	DET	O
	pouco	ADV	O
	de	ADP	O
	isso	PRON	O
	.	PUNCT	O
Sentence: 5	Não	ADV	O
	que	SCONJ	O
	eu	PRON	O
	quisesse	VERB	O
	que	SCONJ	O
	o	DET	O
	autor	NOUN	B-asp
	criasse	VERB	O
	heróis	NOUN	B-asp
	romancistas	ADJ	O
	em	ADP	O
	as	DET	O
	figuras	NOUN	O
	de	ADP	O
	os	DET	O
	garotos	NOUN	O
	mas	CCONJ	O
	em	ADP	O
	cenas	NOUN	O
	como	ADV	O
	quando	ADV	O
	Pedro-Bala	PROPN	O
	estrupa	VERB	O
	uma	DET	O
	menina	NOUN	O
	que	PRON	O
	passa	VERB	O
	em	ADP	O
	a	DET	O
	praia	PROPN	O
	A	PROPN	O
	A	DET	O
	noite	NOUN	O
	ou	CCONJ	O
	quano	ADV	O
	de	ADP	O
	os	DET	O
	meninos	NOUN	O
	tentam	VERB	O
	estrupar	VERB	O
	Dora	PROPN	O
	os	DET	O
	protagonistas	NOUN	O
	despencam	VERB	O
	em	ADP	O
	o	DET	O
	meu	DET	O
	conceito	NOUN	O
	e	CCONJ	O
	eu	PRON	O
	não	ADV	O
	sinto	VERB	O
	mais	DET	O
	pena	NOUN	O
	ou	CCONJ	O
	afeição	NOUN	O
	por	ADP	O
	eles	PRON	O
	em	ADP	O
	a	DET	O
	história	NOUN	O
	.	PUNCT	O
Sentence: 6	Mas	CCONJ	O
	de	ADP	O
	um	DET	O
	ponto	NOUN	O
	de	ADP	O
	vista	NOUN	O
	positivista	ADJ	O
	e	CCONJ	O
	menos	ADV	O
	sentimental	ADJ	O
	é	AUX	O
	um	DET	O
	livro	NOUN	B-asp
	muito	ADV	O
	bom	ADJ	O
	.	PUNCT	O
Sentence: 7	Quem	PRON	O
	tem	VERB	O
	pavor	NOUN	O
	só	ADV	O
	de	SCONJ	O
	ouvir	VERB	O
	o	DET	O
	nome	NOUN	O
	Capitães	PROPN	O
	de	ADP	O
	a	PROPN	O
	Areia	PROPN	O
	,	PUNCT	O
	por	ADP	O
	causa	NOUN	O
	de	ADP	O
	a	DET	O
	Fuvest	PROPN	O
	,	PUNCT	O
	ficaria	VERB	O
	admirado	ADJ	O
	com	ADP	O
	quão	ADV	O
	bom	ADJ	O
	é	AUX	O
	esse	DET	O
	livro	NOUN	B-asp
	.	PUNCT	O
Sentence: 8	Jorge	PROPN	O
	Amado	PROPN	O
	escreve	VERB	B-asp
	de	ADP	O
	forma	NOUN	O
	envolvente	ADJ	O
	,	PUNCT	O
	e	CCONJ	O
	em	ADP	O
	os	PRON	O
	faz	VERB	O
	sentir	VERB	O
	vontade	NOUN	O
	de	SCONJ	O
	ajudar	VERB	O
	cada	DET	O
	um	NUM	O
	de	ADP	O
	os	DET	O
	personagens	NOUN	B-asp
	.	PUNCT	O
Sentence: 9	Li	VERB	O
	,	PUNCT	O
	reli	VERB	O
	,	PUNCT	O
	e	CCONJ	O
	vou	AUX	O
	ler	VERB	O
	mais	ADV	O
	uma	ADP	O
	vez	NOUN	O
	,	PUNCT	O
	porque	SCONJ	O
	vale	VERB	O
	a	DET	O
	pena	NOUN	O
	!	PUNCT	O
Sentence: 10	Não	ADV	O
	tenho	VERB	O
	palavras	NOUN	O
	pra	ADP	O
	esse	DET	O
	livro	NOUN	B-asp
	.	PUNCT	O
Sentence: 11	Amei	VERB	O
	,	PUNCT	O
	de	ADP	O
	paixão	NOUN	O
	,	PUNCT	O
	lê-lo	VERB	O
	.	PUNCT	O
Sentence: 12	Amei	VERB	O
	a	DET	O
	história	NOUN	B-asp
	,	PUNCT	O
	os	DET	O
	personagens	NOUN	B-asp
	,	PUNCT	O
	toda	DET	O
	a	DET	O
	riqueza	NOUN	B-asp
	de	ADP	I-asp
	detalhes	NOUN	I-asp
	,	PUNCT	O
	simplesmente	ADV	O
	tudo	PRON	O
	.	PUNCT	O
Sentence: 13	Meu	DET	O
	livro	NOUN	B-asp
	preferido	ADJ	O
	!	PUNCT	O
Sentence: 14	A	DET	O
	história	NOUN	B-asp
	tem	VERB	O
	vários	DET	O
	furos	NOUN	O
	e	CCONJ	O
	,	PUNCT	O
	se	SCONJ	O
	você	PRON	O
	parar	VERB	O
	pra	SCONJ	O
	pensar	VERB	O
	,	PUNCT	O
	é	AUX	O
